Model,0-25%,25-50%,50-75%,75-100%,Reference Model Quartile,0-25%_count,25-50%_count,50-75%_count,75-100%_count
gpt-4-1106-preview,-0.1,0.38461538461538464,0.15,0.8970588235294118,75-100%,5,13,15,16
gpt-4-0613,0.40393533874969156,0.3029411764705882,0.36428571428571427,0.6911764705882353,75-100%,14,16,15,16
koala-13b,0.5944055944055944,-0.2,0.4,0.3,0-25%,12,5,4,5
gpt-3.5-turbo-0613,0.5252747252747253,0.13823529411764707,0.0,0.6911764705882353,75-100%,14,16,15,16
mistral-medium,0.5,0.5594405594405595,0.15604395604395604,0.5352941176470588,75-100%,3,12,14,16
llama-2-13b-chat,0.46153846153846156,0.34505494505494505,0.674171509563902,0.2911764705882353,25-50%,12,14,15,16
mistral-7b-instruct,0.1,0.5879120879120879,-0.11785714285714285,0.42058823529411765,0-25%,5,13,15,16
gpt-3.5-turbo-0314,0.7832167832167832,-0.4,0.2,1.0,50-75%,12,4,4,2
vicuna-13b,0.5058823529411764,0.35906814638483786,0.04285714285714286,0.5542296386499165,25-50%,16,16,15,16
gpt-4-0314,0.6642857142857143,0.57036602374752,-0.11764705882352941,0.4588235294117647,75-100%,15,14,16,16
mixtral-8x7b-instruct-v0.1,-1.0,-0.038461538461538464,0.22637362637362637,0.7382352941176471,75-100%,2,13,14,16
gemini-pro,-1.0,0.10714285714285714,-0.33636363636363636,0.7272727272727273,75-100%,2,7,11,12
claude-2.0,0.028348752948777194,0.6821428571428572,0.2087912087912088,0.3640743877367389,75-100%,13,15,14,16
vicuna-7b,0.6571428571428571,0.07272727272727272,0.5333333333333333,0.47619047619047616,0-25%,15,11,9,8
guanaco-33b,0.16783216783216784,-0.14285714285714285,0.8,-0.6,25-50%,12,6,4,5
chatglm3-6b,0.2,0.09090909090909091,0.0572520126523527,0.11809098454698776,0-25%,4,10,15,16
openchat-3.5,0.9,0.24545454545454545,-0.29642857142857143,0.08235294117647059,50-75%,5,11,15,16
pplx-70b-online,0.5,-0.39090909090909093,0.4989010989010989,0.5088235294117647,50-75%,3,11,14,16
gpt-3.5-turbo-1106,0.4,0.2834471496859371,0.17142857142857143,0.7294117647058823,50-75%,5,13,15,16
mpt-30b-chat,0.4098176969739748,0.0,0.7,0.6,25-50%,12,7,5,5
gpt4all-13b-snoozy,0.5664335664335665,-0.42857142857142855,0.6,0.3,0-25%,12,6,4,5
llama2-70b-steerlm-chat,-0.5,0.7380952380952381,-0.053600036565560324,0.4607142857142857,50-75%,3,8,12,15
gemini-pro-dev-api,-0.5,-0.5727272727272728,-0.18719578812853602,0.5678571428571428,75-100%,3,11,12,15
wizardlm-70b,0.4,0.44755244755244755,-0.010714285714285714,0.5911764705882353,50-75%,4,12,15,16
claude-instant-1,0.20294117647058824,0.2911764705882353,0.49411764705882355,0.35294117647058826,50-75%,16,16,16,16
claude-1,0.5441176470588235,-0.16176470588235295,0.5529411764705883,0.8676470588235294,75-100%,16,16,16,16
claude-2.1,0.7,0.1060674862669131,0.2,0.6794117647058824,75-100%,5,13,15,16
chatglm-6b,0.8041958041958042,-0.8285714285714286,1.0,0.9,0-25%,12,6,4,5
alpaca-13b,0.8811188811188811,-0.08571428571428572,0.4,-0.1,0-25%,12,6,4,5
gpt-4-0125-preview,-0.5,0.3090909090909091,-0.22377622377622378,0.375,75-100%,3,11,12,15
wizardlm-13b,0.26785714285714285,0.23636363636363636,0.05,0.5476190476190477,50-75%,15,11,9,8
dolly-v2-12b,0.951048951048951,0.4,0.6,0.0,0-25%,12,4,4,4
deepseek-llm-67b-chat,-1.0,0.016666666666666666,0.04195804195804196,0.46813186813186813,50-75%,2,9,12,14
chatglm2-6b,0.9,-0.3090909090909091,-0.047619047619047616,0.5714285714285714,0-25%,5,10,8,7
starling-lm-7b-alpha,1.0,-0.16483516483516483,-0.15604395604395604,0.5147058823529411,75-100%,2,13,14,16
tulu-2-dpo-70b,0.0,-0.18181818181818182,0.20743124405439625,0.8970588235294118,50-75%,4,12,15,16
llama-2-7b-chat,0.3626373626373626,0.6571428571428571,0.15,0.3176470588235294,25-50%,13,15,15,16
zephyr-7b-beta,0.6,0.8516483516483516,0.17857142857142858,0.6823529411764706,25-50%,5,13,15,16
stablelm-tuned-alpha-7b,0.8251748251748252,-1.0,1.0,-1.0,0-25%,12,3,3,2
oasst-pythia-12b,0.958041958041958,0.4857142857142857,-0.4,0.2,0-25%,12,6,4,5
vicuna-33b,0.6071428571428571,0.1392857142857143,0.43823529411764706,0.6558823529411765,50-75%,15,15,16,16
dolphin-2.2.1-mistral-7b,1.0,0.6785714285714286,0.21410407420859828,0.5314685314685315,50-75%,2,7,11,12
llama-2-70b-chat,0.6,0.14285714285714285,-0.2392857142857143,0.3735294117647059,50-75%,5,15,15,16
llama-13b,0.4405594405594406,0.2,-0.4,-1.0,0-25%,12,4,4,2
palm-2,0.8714285714285714,0.13286713286713286,0.38461538461538464,0.6242424242424243,25-50%,15,12,12,10
codellama-34b-instruct,0.1,-0.25274725274725274,0.22857142857142856,0.26176470588235295,25-50%,5,14,15,16
yi-34b-chat,0.2,0.026822860931287634,0.5178571428571429,0.07941176470588235,75-100%,5,13,15,16
mpt-7b-chat,0.6363636363636364,-0.42857142857142855,1.0,-0.35355339059327373,0-25%,12,6,4,5
fastchat-t5-3b,0.8076923076923077,0.42857142857142855,0.2,0.9,0-25%,13,6,4,5
qwen-14b-chat,0.8,0.4636363636363636,-0.4021978021978022,0.6351648351648351,25-50%,4,11,14,14
gpt-3.5-turbo-0125,1.0,-0.2,0.10003787326868066,0.30714285714285716,75-100%,3,10,12,15
openhermes-2.5-mistral-7b,-1.0,0.11818181818181818,0.34945054945054943,0.5705882352941176,50-75%,3,11,14,16
qwen1.5-72b-chat,1.0,-0.4543041723549837,0.159219587968888,0.497460369170641,75-100%,3,10,11,15
RWKV-4-Raven-14B,0.8251748251748252,-0.08571428571428572,1.0,0.0,0-25%,12,6,4,5
solar-10.7b-instruct-v1.0,-1.0,0.2330792906596518,0.4727272727272727,-0.055944055944055944,50-75%,2,8,11,12
pplx-7b-online,-0.5,0.249048823437687,0.5868131868131868,0.38235294117647056,25-50%,3,11,14,16
qwen1.5-4b-chat,-1.0,-0.6355735587650482,0.1104957117972521,0.310165718905351,0-25%,2,8,9,13
falcon-180b-chat,-1.0,0.3090909090909091,0.2857142857142857,0.6727272727272727,25-50%,4,10,7,10
nous-hermes-2-mixtral-8x7b-dpo,0.0,0.4515994637103675,0.2289025646507727,0.432967032967033,50-75%,3,10,12,14
stripedhyena-nous-7b,1.0,-0.323568001532418,0.13286713286713286,0.8178571428571428,25-50%,2,10,12,15
zephyr-7b-alpha,0.5,-0.21666666666666667,-0.9,0.6,25-50%,3,9,5,4
qwen1.5-7b-chat,1.0,0.5002164033860247,0.434866119155033,0.31024163751507305,25-50%,2,8,8,14
mistral-7b-instruct-v0.2,,-0.8,-0.6994698197870387,0.27540613978931533,25-50%,0,4,8,15
openchat-3.5-0106,-1.0,0.21897691127637642,-0.08333333333333333,0.09661277135084513,25-50%,2,8,9,15
